Label,Model,Config,PR_AUC_mean,PR_AUC_std,F1_mean,F1_std,Bal.Acc_mean,Bal.Acc_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Sensitivity_mean,Specificity_mean
fine_chocolate,SVM,SVM_C=1,0.269,0.0309030742807248,0.1898,0.0332445484252681,0.5884,0.0503964284448808,0.8865999999999999,0.0151756383720751,0.3672,0.1858,0.9916
fine_cinnamon,SVM,SVM_C=1,0.3992,0.1637641596931391,0.3661999999999999,0.1256789560745951,0.7352000000000001,0.1278405256559906,0.9324,0.04355800730061,0.3252,0.4848,0.986
fine_citrus,RF,RF_n_estimators=300_max_features=log2,0.5214000000000001,0.0257254737565705,0.5044,0.0487729433190165,0.7422000000000001,0.0464887083064264,0.884,0.008306623862918,0.503,0.53,0.9542
fine_clean,RF,RF_n_estimators=300_max_features=sqrt,0.1758,0.1307275793396328,0.1612,0.1699343991074202,0.5658,0.0662397161829668,0.7718,0.0757410060667271,0.2256,0.1406,0.9912
fine_clove,XGB,XGB_n_estimators=100_max_depth=6,0.4164,0.1246005617964862,0.4535999999999999,0.1340813186092678,0.7636000000000001,0.0835571660601291,0.9044,0.0745741241986789,0.4346,0.5334,0.9944
fine_cocoa,SVM,SVM_C=10,0.4118,0.0996729652413331,0.3686,0.0823365046622699,0.6786,0.0409670599384432,0.8564,0.0602436718668442,0.4136,0.3746,0.9826
fine_coconut,RF,RF_n_estimators=300_max_features=sqrt,0.5368,0.0988898376983196,0.4854,0.1405713342043817,0.705,0.0942523209263305,0.8858,0.044161068827645,0.7882,0.4144,0.9958
fine_coffee,SVM,SVM_C=10,0.3718,0.0583069464129274,0.3346,0.0862252863143985,0.6952,0.1085826873861574,0.9174,0.0077653074633268,0.3616,0.4142,0.9764
fine_cognac,XGB,XGB_n_estimators=300_max_depth=3,0.4002,0.1794246359895987,0.4098,0.1329951126921587,0.7138,0.0897535514617666,0.9044,0.0372598980138163,0.4628,0.4446,0.9824
fine_cooked,SVM,SVM_C=0.1,0.1464,0.0340484948272313,0.1684,0.0930043009758151,0.632,0.1039062077067583,0.8380000000000001,0.0493457191659013,0.1342,0.298,0.9662
fine_cooling,RF,RF_n_estimators=300_max_features=log2,0.2844,0.1004455076148256,0.279,0.0657114906237866,0.682,0.0906724875582445,0.8964000000000001,0.0542752245504336,0.2498,0.385,0.9796
fine_cortex,XGB,XGB_n_estimators=100_max_depth=3,0.1688,0.1237828744213027,0.1518,0.1065725105268708,0.5714,0.0627040668537536,0.6636,0.1124046262393145,0.3508,0.1544,0.9888
fine_coumarinic,RF,RF_n_estimators=300_max_features=log2,0.4798,0.1233559889101457,0.4307999999999999,0.134442180880853,0.6734,0.0685733184263383,0.9266,0.0490846208093736,0.6334,0.35,0.9968
fine_creamy,LR,LR_C=0.01,0.259,0.0575021738719502,0.2826,0.0826062951596305,0.627,0.0613514466007118,0.7836000000000001,0.0277812886670146,0.3508,0.2792,0.9754
fine_cucumber,RF,RF_n_estimators=300_max_features=log2,0.4608,0.1531998694516415,0.393,0.109181042310467,0.7178,0.0822477963230626,0.937,0.0555832708645325,0.4256,0.4448,0.9906
fine_dairy,RF,RF_n_estimators=300_max_features=log2,0.2642,0.1228177511600012,0.302,0.1194466408066798,0.6668000000000001,0.0540435009968821,0.8206,0.0668565628790472,0.2872,0.3652,0.9684
fine_dry,RF,RF_n_estimators=300_max_features=log2,0.1584,0.0519403504031307,0.224,0.0232486558751253,0.6157999999999999,0.0479395452627577,0.7548,0.0324992307601272,0.2271999999999999,0.2676,0.9636
fine_earthy,RF,RF_n_estimators=300_max_features=log2,0.2976,0.0435809591450211,0.3356,0.0318245188494657,0.6712,0.0328892079564102,0.759,0.0418807831827438,0.2914,0.4174,0.9252
fine_ethereal,RF,RF_n_estimators=300_max_features=log2,0.5922,0.0693483957997587,0.5466,0.0548251766983016,0.7804,0.0431138028942008,0.912,0.0271293199325011,0.523,0.5968,0.9638
fine_fatty,SVM,SVM_C=1,0.5612,0.0419666534286449,0.5744,0.0077974354758472,0.781,0.0325729949498046,0.8652,0.017626684316683,0.529,0.644,0.9182
fine_fermented,RF,RF_n_estimators=300_max_features=log2,0.4332,0.0488998977504043,0.3766,0.0428112134843197,0.6636,0.0440942173079418,0.8742000000000001,0.0143422452914458,0.5538000000000001,0.3419999999999999,0.9854
fine_fishy,XGB,XGB_n_estimators=100_max_depth=6,0.5115999999999999,0.0897346087081233,0.488,0.0707707566725126,0.7096,0.0332535712367859,0.8924,0.0383640456677864,0.5972000000000001,0.4242,0.995
fine_floral,RF,RF_n_estimators=300_max_features=sqrt,0.6326,0.0279338504327635,0.6248,0.0316180328293839,0.7774,0.0127397017233528,0.8634000000000001,0.0181741574770331,0.5534,0.7247999999999999,0.8298
fine_fresh,RF,RF_n_estimators=300_max_features=log2,0.2952,0.0248032255966839,0.353,0.0156524758424985,0.6721999999999999,0.0425581954504652,0.7766,0.016379865689315,0.2915999999999999,0.4974,0.8465999999999999
fine_fruit skin,XGB,XGB_n_estimators=300_max_depth=3,0.1159999999999999,0.0689855057240287,0.1274,0.0916149551110516,0.5454000000000001,0.0322846712853019,0.683,0.1297863629199924,0.2307999999999999,0.0951999999999999,0.9958
fine_fruity,RF,RF_n_estimators=300_max_features=log2,0.8088000000000001,0.0073620649277223,0.7283999999999999,0.009208691546577,0.7802,0.0073959448348402,0.8614,0.0098132563402776,0.7086,0.7538,0.806
fine_garlic,RF,RF_n_estimators=100_max_features=log2,0.6002,0.1217033278098836,0.5478,0.0910148339557898,0.8346,0.0486034978165152,0.9754,0.0155338340405709,0.474,0.6912,0.9778
fine_gassy,SVM,SVM_C=10,0.2981999999999999,0.2726640790423263,0.2497999999999999,0.2005534841382716,0.6808,0.16204844954519,0.956,0.046984039843334,0.2145999999999999,0.3726,0.9892
fine_geranium,RF,RF_n_estimators=100_max_features=sqrt,0.2593999999999999,0.0787578567509299,0.2477999999999999,0.0897061870775923,0.6388,0.0846386436564291,0.852,0.0532963413378442,0.3041999999999999,0.2888,0.989
fine_grape,LR,LR_C=0.01,0.3544,0.0657061640943983,0.367,0.0997421676122992,0.6696,0.0504707836277583,0.8625999999999999,0.0597268783714669,0.5586,0.3534,0.9856
fine_grapefruit,SVM,SVM_C=1,0.3736,0.1286790581252443,0.3722,0.0568744230739969,0.6874,0.0452747170062938,0.8934,0.0558864921067694,0.422,0.3856,0.9896
fine_grassy,SVM,SVM_C=1,0.0994,0.0690239089011916,0.078,0.0898860389604525,0.554,0.0689601334105438,0.7806,0.0537986988690247,0.0562,0.1288,0.979
fine_green,RF,RF_n_estimators=300_max_features=log2,0.6762,0.0257429602027427,0.6234,0.0384746669901118,0.7382,0.0260998084284157,0.8208,0.0177679486716953,0.5624,0.7076,0.769
